"map_id","benchmark_id","distances","fscores","precisions","recalls"
"201-spear-video-577758970062","GTSuite-chris-201-spear-video-577758970062_densify-method=joint_mvsnet_openmvs_mvsnet-network-mode=ultralite_mvsnet-depth-buckets=64","[0.001,0.0025,0.005,0.01,0.015,0.02,0.025,0.03,0.035,0.04,0.045,0.05,0.06,0.07,0.08,0.1,0.2]","[5.84177789278328E-4,0.00131136656273156,0.00233982689678669,0.00435084523633122,0.00634220242500305,0.00856542959809303,0.0105886366218328,0.0124611994251609,0.0142641384154558,0.0159670673310757,0.0176098737865686,0.0192025247961283,0.0223360639065504,0.0256183017045259,0.028960820287466,0.0354960337281227,0.0640332326292992]","[0.0118826879188418,0.0201740246266127,0.0308192577213049,0.0485378913581371,0.0657880902290344,0.0854468271136284,0.101018458604813,0.114201061427593,0.12508051097393,0.13467176258564,0.142377555370331,0.150036498904228,0.166939273476601,0.185879737138748,0.209816873073578,0.252803802490234,0.379332542419434]","[2.99449689919129E-4,6.77709758747369E-4,0.00121607619803399,0.00227749790064991,0.00333169451914728,0.00450869696214795,0.00558713683858514,0.00659014657139778,0.00756332883611321,0.00848663318902254,0.00938534736633301,0.0102576799690723,0.0119687244296074,0.0137571701779962,0.0155538516119123,0.019088089466095,0.0349680036306381]"
"gg-park-video-583366999542","GTSuite-chris-gg-park-video-583366999542_densify-method=joint_mvsnet_openmvs_mvsnet-network-mode=ultralite_mvsnet-depth-buckets=128","[0.001,0.0025,0.005,0.01,0.015,0.02,0.025,0.03,0.035,0.04,0.045,0.05,0.06,0.07,0.08,0.1,0.2]","[2.74768011877313E-4,4.7723445459269E-4,7.13545829057693E-4,0.00113276182673872,0.00158584944438189,0.00204725284129381,0.00253683025948703,0.00301464949734509,0.00355281168594956,0.00411739712581038,0.00463494937866926,0.00512896897271276,0.00616278639063239,0.00717408349737525,0.00816376879811287,0.0100041748955846,0.0190839283168316]","[0.00423693936318159,0.0070900721475482,0.0100324116647243,0.016906226053834,0.0246077179908752,0.0320836156606674,0.0406287610530853,0.0465264655649662,0.0536570847034454,0.0594095513224602,0.0634221211075783,0.0667028576135635,0.0719215571880341,0.0765934735536575,0.081448957324028,0.0917799547314644,0.145480781793594]","[1.41988013638183E-4,2.46927607804537E-4,3.69928340660408E-4,5.86013135034591E-4,8.1932550529018E-4,0.00105736148543656,0.00130929064471275,0.00155779276974499,0.0018372304039076,0.00213259877637029,0.00240536779165268,0.00266702217049897,0.00321932113729417,0.00376328430138528,0.00429724436253309,0.00529041979461908,0.0102117443457246]"
"gg-park-video-583362563275","GTSuite-chris-gg-park-video-583362563275_densify-method=joint_mvsnet_openmvs_mvsnet-network-mode=ultralite_mvsnet-depth-buckets=64","[0.001,0.0025,0.005,0.01,0.015,0.02,0.025,0.03,0.035,0.04,0.045,0.05,0.06,0.07,0.08,0.1,0.2]","[0.0137382624670863,0.0238615088164806,0.0339783355593681,0.0450370647013187,0.0514648444950581,0.0563444532454014,0.0605758614838123,0.0643660724163055,0.0677478536963463,0.07085832208395,0.0736383944749832,0.0761673748493195,0.0805327668786049,0.0844082236289978,0.0879555642604828,0.0941427052021027,0.116835117340088]","[0.140400066971779,0.29118224978447,0.475783616304398,0.684972643852234,0.761380910873413,0.797020196914673,0.822533071041107,0.845415592193604,0.866616129875183,0.88470447063446,0.898315370082855,0.909229159355164,0.926063776016235,0.942256569862366,0.95683342218399,0.974532961845398,0.98444938659668]","[0.00722249411046505,0.0124404840171337,0.0176182761788368,0.0232839956879616,0.0266325231641531,0.0292045176029205,0.0314458534121513,0.0334566533565521,0.0352518372237682,0.0369071587920189,0.0383928008377552,0.0397485867142677,0.0420968048274517,0.0441830940544605,0.046096459031105,0.0494603626430035,0.0621027611196041]"
"201-spear-video-577758970062","GTSuite-chris-201-spear-video-577758970062_densify-method=joint_mvsnet_openmvs_mvsnet-network-mode=ultralite_mvsnet-depth-buckets=128","[0.001,0.0025,0.005,0.01,0.015,0.02,0.025,0.03,0.035,0.04,0.045,0.05,0.06,0.07,0.08,0.1,0.2]","[0.00189822423271835,0.00411628885194659,0.00679557723924518,0.0111513677984476,0.0147662255913019,0.0179826933890581,0.0209866277873516,0.0238317120820284,0.0265264324843884,0.0291945561766624,0.0318128019571304,0.0343644991517067,0.0390887558460236,0.0434995330870152,0.0476294942200184,0.0564151592552662,0.097048781812191]","[0.0289911031723022,0.0476215332746506,0.0655074417591095,0.0905045717954636,0.109681211411953,0.126178964972496,0.141977429389954,0.15797421336174,0.172673285007477,0.188617870211601,0.206869080662727,0.225123763084412,0.25550651550293,0.284038364887238,0.309073776006699,0.363041132688522,0.620558559894562]","[9.8123587667942E-4,0.00215111277066171,0.0035836691968143,0.0059417337179184,0.00791597086936235,0.00968121737241745,0.0113307507708669,0.012887985445559,0.0143667412921786,0.0158217344433069,0.0172313395887613,0.0186020210385323,0.021163210272789,0.0235533230006695,0.0258029140532017,0.0305838864296675,0.0526406057178974]"
"gg-park-video-583366999542","GTSuite-chris-gg-park-video-583366999542_densify-method=joint_mvsnet_openmvs_mvsnet-network-mode=ultralite_mvsnet-depth-buckets=64","[0.001,0.0025,0.005,0.01,0.015,0.02,0.025,0.03,0.035,0.04,0.045,0.05,0.06,0.07,0.08,0.1,0.2]","[2.68537056399509E-4,5.3235370432958E-4,8.30736011266708E-4,0.00131299823988229,0.00187980651389807,0.00257434020750225,0.00329280132427812,0.00394958676770329,0.004544613417238,0.00511031784117222,0.00562332989647985,0.00610552728176117,0.00698380824178457,0.00774474767968059,0.00848295167088509,0.00982673373073339,0.0154444873332977]","[0.0014375823084265,0.00254163821227849,0.00383075349964201,0.00638019014149904,0.0120414393022656,0.0219710450619459,0.0320263206958771,0.0365502238273621,0.0406494177877903,0.0443206056952477,0.0471429824829102,0.0492446161806583,0.0522142611443996,0.0547010116279125,0.0570206977427006,0.0608586519956589,0.088420458137989]","[1.48100996739231E-4,2.97313439659774E-4,4.6588369878009E-4,7.317986455746E-4,0.00101947947405279,0.00136727141216397,0.00173562520649284,0.00208758492954075,0.00240684975869954,0.0027114802505821,0.00298999156802893,0.00325451721437275,0.00374216679483652,0.00416739005595446,0.00458233198150992,0.00534488074481487,0.00846120715141296]"
"gg-park-video-583362563275","GTSuite-chris-gg-park-video-583362563275_densify-method=joint_mvsnet_openmvs_mvsnet-network-mode=ultralite_mvsnet-depth-buckets=128","[0.001,0.0025,0.005,0.01,0.015,0.02,0.025,0.03,0.035,0.04,0.045,0.05,0.06,0.07,0.08,0.1,0.2]","[0.0136166615411639,0.0228349324315786,0.0324204191565514,0.0417868867516518,0.0470812395215034,0.0510537177324295,0.0542910471558571,0.0571063868701458,0.0595909953117371,0.0618645846843719,0.0639105215668678,0.0657682865858078,0.0691771879792213,0.0723308846354485,0.0751950740814209,0.0802808851003647,0.0979992523789406]","[0.155067622661591,0.319309860467911,0.537973165512085,0.718821942806244,0.775722861289978,0.810412168502808,0.836464524269104,0.856846213340759,0.873000383377075,0.887386500835419,0.901762068271637,0.915677726268768,0.939140319824219,0.955942630767822,0.968987703323364,0.98051530122757,0.98830658197403]","[0.00712098134681582,0.0118408557027578,0.0167138315737247,0.0215189177542925,0.0242773573845625,0.0263570696115494,0.0280560161918402,0.0295374896377325,0.030848354101181,0.0320494659245014,0.0331292413175106,0.034109078347683,0.0359112061560154,0.0375874601304531,0.0391152426600456,0.0418538600206375,0.0515557266771793]"
"office-6-scans-video-576724639910","GTSuite-chris-office-6-scans-video-576724639910_densify-method=joint_mvsnet_openmvs_mvsnet-network-mode=ultralite_mvsnet-depth-buckets=64","[0.001,0.0025,0.005,0.01,0.015,0.02,0.025,0.03,0.035,0.04,0.045,0.05,0.06,0.07,0.08,0.1,0.2]","[0.00639125006273389,0.0130006624385715,0.0234319623559713,0.0411876700818539,0.0529077537357807,0.0617097765207291,0.0695585682988167,0.0762813314795494,0.0821879655122757,0.0875628590583801,0.0928061231970787,0.0981189459562302,0.108067892491817,0.117549911141396,0.125194773077965,0.139557346701622,0.20013864338398]","[0.0319095104932785,0.0622880198061466,0.110123887658119,0.205311834812164,0.281744509935379,0.332883924245834,0.374722450971603,0.410691559314728,0.439017415046692,0.463757663965225,0.487263292074203,0.508592247962952,0.546120405197144,0.582681059837341,0.614376425743103,0.665822684764862,0.888584077358246]","[0.00355127267539501,0.00725774327293038,0.0131108304485679,0.0228898003697395,0.0291950963437557,0.0340069830417633,0.0383375249803066,0.0420453958213329,0.045337799936533,0.0483455285429955,0.0512872524559498,0.054297037422657,0.0599671937525272,0.0653686821460724,0.0696988329291344,0.0779476463794708,0.112768985331059]"
"office-6-scans-video-576724639910","GTSuite-chris-office-6-scans-video-576724639910_densify-method=joint_mvsnet_openmvs_mvsnet-network-mode=ultralite_mvsnet-depth-buckets=128","[0.001,0.0025,0.005,0.01,0.015,0.02,0.025,0.03,0.035,0.04,0.045,0.05,0.06,0.07,0.08,0.1,0.2]","[0.00753436051309109,0.0143284974619746,0.0261623859405518,0.0448845364153385,0.0609077550470829,0.0734121203422546,0.082658663392067,0.0903601944446564,0.0973353907465935,0.103665299713612,0.109494283795357,0.114898927509785,0.125050932168961,0.134497210383415,0.143576294183731,0.160375282168388,0.220512613654137]","[0.0421706438064575,0.080714650452137,0.142759323120117,0.254918694496155,0.331059277057648,0.398489564657211,0.445245116949081,0.484053015708923,0.513066709041595,0.539818406105042,0.567256093025208,0.590808689594269,0.631525278091431,0.669906258583069,0.718231201171875,0.819119930267334,0.971241116523743]","[0.00413672113791108,0.00786208920180798,0.0144007503986359,0.0246087461709976,0.0335391126573086,0.0404302068054676,0.0455582179129124,0.0498311966657639,0.0537679307162762,0.057338185608387,0.0605953335762024,0.063637487590313,0.0693961828947067,0.0747526586055756,0.0797602906823158,0.0888894647359848,0.124375551939011]"
,"GTSuite-chris-gg-park-video-583366999542_densify-method=joint_mvsnet_openmvs_mvsnet-network-mode=ultralite_mvsnet-depth-buckets=128",,,,
,"GTSuite-chris-201-spear-video-577761731441_densify-method=joint_mvsnet_openmvs_mvsnet-network-mode=ultralite_mvsnet-depth-buckets=64",,,,
